ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
NTGA,medium_airport,Anaa Airport,10,OC,PF,PF-U-A,,NTGA,AAA,,"-145.50999450683594, -17.35260009765625"
YARY,small_airport,Arrabury Airport,334,OC,AU,AU-QLD,,YARY,AAB,,"141.047771, -26.693023"
HEAR,medium_airport,El Arish International Airport,121,AS,EG,EG-SIN,El Arish,HEAR,AAC,,"33.8358001709, 31.073299408"
AAD,small_airport,Adado Airport,1001,AF,SO,SO-GA,Adado,,AAD,,"46.6375, 6.095802"
DABB,medium_airport,Rabah Bitat Airport,16,AF,DZ,DZ-36,Annaba,DABB,AAE,,"7.809174, 36.822201"
KAAF,small_airport,Apalachicola Regional Airport,20,NA,US,US-FL,Apalachicola,KAAF,AAF,AAF,"-85.02749634, 29.72750092"
SSYA,small_airport,Avelino Vieira Airport,2641,SA,BR,BR-PR,Arapoti,SSYA,AAG,PR0020,"-49.789101, -24.103901"
EDKA,small_airport,Aachen-MerzbrÃ¼ck Airport,623,EU,DE,DE-NW,Aachen,EDKA,AAH,,"6.186388969421387, 50.823055267333984"
SWRA,small_airport,Arraias Airport,1923,SA,BR,BR-TO,Arraias,SWRA,AAI,,"-46.884107, -13.025154"
SR-AAJ,small_airport,Cayana Airstrip,360,SA,SR,SR-SI,Awaradam,SMCA,AAJ,,"-55.577907, 3.898681"
NGUK,small_airport,Aranuka Airport,6,OC,KI,KI-G,Buariki,NGUK,AAK,,"173.636993, 0.185278"
EKYT,large_airport,Aalborg Airport,10,EU,DK,DK-81,Aalborg,EKYT,AAL,,"9.84924316406, 57.0927589138"
FAMD,medium_airport,Malamala Airport,1124,AF,ZA,ZA-NP,Malamala,FAMD,AAM,,"31.544599533081055, -24.818099975585938"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"55.60919952392578, 24.261699676513672"
SVAN,medium_airport,Anaco Airport,721,SA,VE,VE-B,Anaco,SVAN,AAO,,"-64.4707260131836, 9.430225372314453"
ID-0017,large_airport,Aji Pangeran Tumenggung Pranoto International Airport,73,AS,ID,ID-KI,Samarinda,WALS,AAP,,"117.249392, -0.374448"
URKA,medium_airport,Anapa Vityazevo Airport,174,EU,RU,RU-KDA,Anapa,URKA,AAQ,,"37.347301483154, 45.002101898193"
EKAH,medium_airport,Aarhus Airport,82,EU,DK,DK-82,Aarhus,EKAH,AAR,,"10.619000434899998, 56.2999992371"
ID-AAS,small_airport,Apalapsili Airport,3100,AS,ID,ID-PA,Apalapsili,,AAS,APA,"139.3108, -3.8832"
CN-0113,medium_airport,Altay Air Base,2460,AS,CN,CN-65,Altay,ZWAT,AAT,,"88.08580780030002, 47.7498855591"
NSAU,small_airport,Asau Airport,,OC,WS,WS-VS,Asau,NSAU,AAU,,"-172.627888, -13.505132"
RPMA,medium_airport,Allah Valley Airport,659,AS,PH,PH-SCO,Surallah,RPMA,AAV,,"124.7509994506836, 6.366819858551025"
SBAX,small_airport,Romeu Zema Airport,3276,SA,BR,BR-MG,AraxÃ¡,SBAX,AAX,,"-46.960399627686, -19.563199996948"
OYGD,medium_airport,Al Ghaidah International Airport,134,AS,YE,YE-MR,,OYGD,AAY,,"52.17499923706055, 16.191699981689453"
MGQZ,small_airport,Quezaltenango Airport,7779,NA,GT,GT-QZ,Quezaltenango,MGQZ,AAZ,,"-91.501999, 14.8656"
UNAA,medium_airport,Abakan Airport,831,AS,RU,RU-KK,Abakan,UNAA,ABA,,"91.38500213623047, 53.7400016784668"
DNAS,medium_airport,Asaba International Airport,305,AF,NG,NG-DE,Asaba,DNAS,ABB,,"6.665278, 6.204167"
LEAB,medium_airport,Albacete-Los Llanos Airport,2302,EU,ES,ES-CM,Albacete,LEAB,ABC,,"-1.8635200262099998, 38.9485015869"
OIAA,medium_airport,Abadan Airport,10,AS,IR,IR-10,Abadan,OIAA,ABD,,"48.2282981873, 30.371099472"
KABE,medium_airport,Lehigh Valley International Airport,393,NA,US,US-PA,Allentown,KABE,ABE,ABE,"-75.44080352783203, 40.652099609375"
NGAB,small_airport,Abaiang Airport,,OC,KI,KI-G,Abaiang,NGAB,ABF,,"173.04100036621094, 1.798609972000122"
YABI,small_airport,Abingdon Downs Airport,,OC,AU,AU-QLD,,YABI,ABG,,"143.167007446, -17.616699218799997"
YAPH,medium_airport,Alpha Airport,1255,OC,AU,AU-QLD,Alpha,YAPH,ABH,,"146.584, -23.646099"
KABI,medium_airport,Abilene Regional Airport,1791,NA,US,US-TX,Abilene,KABI,ABI,ABI,"-99.68190002440001, 32.4113006592"
DIAP,medium_airport,Port Bouet Airport,21,AF,CI,CI-01,Abidjan,DIAP,ABJ,,"-3.9262900352478027, 5.261390209197998"
HAKD,small_airport,Kabri Dehar Airport,1800,AF,ET,ET-SO,Kabri Dehar,HAKD,ABK,,"44.252998, 6.734"
PAFM,medium_airport,Ambler Airport,334,NA,US,US-AK,Ambler,PAFM,ABL,AFM,"-157.856989, 67.1063"
YBAM,small_airport,Northern Peninsula Airport,34,OC,AU,AU-QLD,Bamaga,YNPE,ABM,,"142.459, -10.9508"
SMBN,small_airport,Albina Airport,19,SA,SR,SR-MA,Albina,SMBN,ABN,,"-54.05009841918945, 5.512720108032227"
DIAO,small_airport,Aboisso Airport,95,AF,CI,CI-13,Aboisso,DIAO,ABO,,"-3.234722, 5.461944"
ABP,small_airport,Atkamba Airport,150,OC,PG,PG-WPD,Atkamba Mission,,ABP,AKA,"141.095277778, -6.0655555555600005"
KABQ,large_airport,Albuquerque International Sunport,5355,NA,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,"-106.609001, 35.040199"
KABR,medium_airport,Aberdeen Regional Airport,1302,NA,US,US-SD,Aberdeen,KABR,ABR,ABR,"-98.42179870605469, 45.449100494384766"
HEBL,medium_airport,Abu Simbel Airport,616,AF,EG,EG-ASN,Abu Simbel,HEBL,ABS,,"31.611700058, 22.375999450699997"
OEBA,medium_airport,Al Baha Airport,5486,AS,SA,SA-11,,OEBA,ABT,,"41.6343002319, 20.2961006165"
WRKA,small_airport,Haliwen Airport,1027,AS,ID,ID-NT,Atambua-Timor Island,WATA,ABU,,"124.904998779, -9.073049545289999"
DNAA,large_airport,Nnamdi Azikiwe International Airport,1123,AF,NG,NG-FC,Abuja,DNAA,ABV,,"7.263169765472412, 9.006790161132812"
ABW,closed,Abau Airport,10,OC,PG,PG-CPM,Abau,,ABW,,"148.7389, -10.1956"
YMAY,medium_airport,Albury Airport,539,OC,AU,AU-NSW,Albury,YMAY,ABX,,"146.95799255371094, -36.06779861450195"
KABY,medium_airport,Southwest Georgia Regional Airport,197,NA,US,US-GA,Albany,KABY,ABY,ABY,"-84.19450378417969, 31.535499572753906"
EGPD,large_airport,Aberdeen Dyce Airport,215,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ,,"-2.197779893875122, 57.201900482177734"
MMAA,large_airport,General Juan N Alvarez International Airport,16,NA,MX,MX-GRO,Acapulco,MMAA,ACA,,"-99.75399780273438, 16.757099151611328"
KACB,small_airport,Antrim County Airport,623,NA,US,US-MI,Bellaire,KACB,ACB,ACB,"-85.198402, 44.988602"
DGAA,large_airport,Kotoka International Airport,205,AF,GH,GH-AA,Accra,DGAA,ACC,,"-0.16678600013256073, 5.605189800262451"
SKAD,small_airport,Alcides FernÃ¡ndez Airport,50,SA,CO,CO-CHO,AcandÃ­,SKAD,ACD,ACD,"-77.3, 8.51667"
GCRR,medium_airport,Lanzarote Airport,46,EU,ES,ES-CN,Lanzarote Island,GCRR,ACE,,"-13.6052, 28.945499"
YBAF,small_airport,Brisbane Archerfield Airport,63,OC,AU,AU-QLD,Brisbane,YBAF,ACF,,"153.007995605, -27.5702991486"
LSZR,medium_airport,St Gallen Altenrhein Airport,1306,EU,CH,CH-SG,Altenrhein,LSZR,ACH,,"9.560770034789998, 47.4850006104"
EGJA,medium_airport,Alderney Airport,290,EU,GG,GG-U-A,Saint Anne,EGJA,ACI,,"-2.21472, 49.706104"
VCCA,medium_airport,Anuradhapura Air Force Base,324,AS,LK,LK-7,Anuradhapura,VCCA,ACJ,,"80.42790222170001, 8.30148983002"
KACK,medium_airport,Nantucket Memorial Airport,47,NA,US,US-MA,Nantucket,KACK,ACK,ACK,"-70.06020355, 41.25310135"
SK-048,small_airport,Aguaclara Airport,1090,SA,CO,CO-CAS,Aguaclara,,ACL,ACL,"-73.002778, 4.753611"
SK-001,small_airport,Arica Airport,316,SA,CO,CO-AMA,Arica,,ACM,,"-71.7580604553, -2.14543733597"
MMCC,small_airport,Ciudad AcuÃ±a New International Airport,1410,NA,MX,MX-COA,Ciudad AcuÃ±a,MMCC,ACN,EFN,"-101.098998, 29.332899"
LSZD,closed,Ascona Airport,655,EU,CH,CH-TI,Ascona,LSZD,ACO,,"8.78194046021, 46.157798767100005"
OITM,small_airport,Sahand Airport,4396,AS,IR,IR-01,Maragheh,OITM,ACP,,"46.127899169921875, 37.347999572753906"
SKAC,small_airport,Araracuara Airport,1250,SA,CO,CO-CAQ,Araracuara,SKAC,ACR,ACR,"-72.4083, -0.5833"
UNKS,medium_airport,Achinsk Airport,1033,AS,RU,RU-KYA,Achinsk,UNKS,ACS,,"90.57080078125, 56.2682991027832"
KACT,medium_airport,Waco Regional Airport,516,NA,US,US-TX,Waco,KACT,ACT,ACT,"-97.23049926757812, 31.611299514770508"
PA-0001,small_airport,Achutupo Airport,1047,NA,PA,PA-5,Achutupo,,ACU,,"-77.96520233150001, 8.43165969849"
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,221,NA,US,US-CA,Arcata/Eureka,KACV,ACV,ACV,"-124.109, 40.978101"
ZUYI,medium_airport,Xingyi Airport,4150,AS,CN,CN-52,Xingyi,ZUYI,ACX,,"104.959444444, 25.0863888889"
KACY,medium_airport,Atlantic City International Airport,75,NA,US,US-NJ,Atlantic City,KACY,ACY,ACY,"-74.57720184326172, 39.45759963989258"
OIZB,medium_airport,Zabol Airport,1628,AS,IR,IR-13,,OIZB,ACZ,,"61.54389953613281, 31.09830093383789"
LTAF,large_airport,Adana Airport,65,AS,TR,TR-01,Adana,LTAF,ADA,,"35.280399322499996, 36.9822006226"
LTBJ,large_airport,Adnan Menderes International Airport,412,AS,TR,TR-35,Ä°zmir,LTBJ,ADB,,"27.156999588, 38.2924003601"
ADC,small_airport,Andakombe Airport,3600,OC,PG,PG-EHG,Andekombe,AYAN,ADC,ADK,"145.744722222, -7.13722222222"
HAAB,large_airport,Addis Ababa Bole International Airport,7630,AF,ET,ET-AA,Addis Ababa,HAAB,ADD,,"38.799301147499996, 8.97789001465"
OYAA,medium_airport,Aden International Airport,7,AS,YE,YE-AD,Aden,OYAA,ADE,,"45.02880096435547, 12.829500198364258"
LTCP,medium_airport,AdÄ±yaman Airport,2216,AS,TR,TR-02,AdÄ±yaman,LTCP,ADF,,"38.4688987732, 37.7313995361"
KADG,small_airport,Lenawee County Airport,798,NA,US,US-MI,Adrian,KADG,ADG,ADG,"-84.07730102539999, 41.8676986694"
UEEA,small_airport,Aldan Airport,2241,AS,RU,RU-SA,Aldan,UEEA,ADH,,"125.40899658203125, 58.60279846191406"
FYAR,medium_airport,Arandis Airport,1905,AF,NA,NA-ER,Arandis,FYAR,ADI,,"14.979999542236328, -22.462200164794922"
OJAM,medium_airport,Amman-Marka International Airport,2555,AS,JO,JO-AM,Amman,OJAM,ADJ,,"35.991600036621094, 31.972700119018555"
PADK,medium_airport,Adak Airport,18,NA,US,US-AK,Adak Island,PADK,ADK,ADK,"-176.64599609375, 51.87799835205078"
YPAD,large_airport,Adelaide International Airport,20,OC,AU,AU-SA,Adelaide,YPAD,ADL,,"138.531006, -34.945"
KADM,small_airport,Ardmore Municipal Airport,777,NA,US,US-OK,Ardmore,KADM,ADM,ADM,"-97.0196342, 34.30301"
SKAN,closed,Andes Airport,3900,SA,CO,CO-ANT,Andes,SKAN,ADN,,"-75.88038, 5.69764"
YAMK,small_airport,Andamooka Airport,76,OC,AU,AU-SA,,YAMK,ADO,,"137.136993, -30.438299"
VCCG,medium_airport,Ampara Airport,150,AS,LK,LK-5,Ampara,VCCG,ADP,,"81.62594, 7.33776"
PADQ,medium_airport,Kodiak Airport,78,NA,US,US-AK,Kodiak,PADQ,ADQ,ADQ,"-152.4940033, 57.75"
KPHH,small_airport,Robert F Swinnie Airport,26,NA,US,US-SC,Andrews,KPHH,ADR,PHH,"-79.5261993408, 33.4516983032"
KADS,small_airport,Addison Airport,644,NA,US,US-TX,Dallas,KADS,ADS,ADS,"-96.8364028931, 32.9686012268"
KADH,small_airport,Ada Regional Airport,1016,NA,US,US-OK,Ada,KADH,ADT,ADH,"-96.671303, 34.804298"
OITL,medium_airport,Ardabil Airport,4315,AS,IR,IR-03,Ardabil,OITL,ADU,,"48.4244003296, 38.3256988525"
ADV,small_airport,El Daein Airport,1560,AF,SD,SD-DE,El Daein,,ADV,,"26.1186, 11.4023"
KADW,large_airport,Joint Base Andrews,280,NA,US,US-MD,Camp Springs,KADW,ADW,ADW,"-76.866997, 38.810799"
EGQL,medium_airport,RAF Leuchars,38,EU,GB,GB-SCT,St. Andrews,EGQL,ADX,,"-2.8684399127960205, 56.37289810180664"
FAAL,small_airport,Alldays Airport,2600,AF,ZA,ZA-NP,Alldays,FAAL,ADY,,"29.0555000305, -22.6790008545"
SKSP,medium_airport,Gustavo Rojas Pinilla International Airport,19,SA,CO,CO-SAP,San AndrÃ©s,SKSP,ADZ,ADZ,"-81.7112, 12.5836"
NGTB,small_airport,Abemama Atoll Airport,8,OC,KI,KI-G,Abemama Atoll,NGTB,AEA,,"173.82899475097656, 0.49083301424980164"
CN-0082,medium_airport,Baise Youjiang Airport,490,AS,CN,CN-45,Baise,ZGBS,AEB,,"106.959999084, 23.7206001282"
AEE,small_airport,Adareil Airport,1301,AF,SS,SS-23,,,AEE,,"32.9594444444, 10.0536111111"
WIME,medium_airport,Aek Godang Airport,922,AS,ID,ID-SU,Padang Sidempuan-Sumatra Island,WIME,AEG,,"99.430496, 1.4001"
FTTC,medium_airport,Abeche Airport,1788,AF,TD,TD-OD,,FTTC,AEH,,"20.84429931640625, 13.847000122070312"
AEI,heliport,Algeciras Heliport,98,EU,ES,ES-CA,Algeciras,LEAG,AEI,,"-5.441118, 36.12888"
AEK,small_airport,Aseki Airport,4106,OC,PG,PG-MPL,Aseki,AYAX,AEK,ASE,"146.19386673, -7.35080485552"
KAEL,small_airport,Albert Lea Municipal Airport,1260,NA,US,US-MN,Albert Lea,KAEL,AEL,AEL,"-93.36720276, 43.68149948"
UHTG,small_airport,Amgu Airport,10,EU,RU,RU-PRI,Amgu,UHTG,AEM,,"137.673568, 45.84126"
GQNA,small_airport,Aioun el Atrouss Airport,951,AF,MR,MR-02,Aioun El Atrouss,GQNA,AEO,,"-9.637880325317383, 16.711299896240234"
SABE,medium_airport,Jorge Newbery Airpark,18,SA,AR,AR-C,Buenos Aires,SABE,AEP,AER,"-58.4156, -34.5592"
AEQ,small_airport,Ar Horqin Airport,1335,AS,CN,CN-15,Chifeng,,AEQ,,"120.15958, 43.87042"
URSS,large_airport,Sochi International Airport,89,EU,RU,RU-KDA,Sochi,URSS,AER,,"39.9566, 43.449902"
ENAL,medium_airport,Ãlesund Airport,69,EU,NO,NO-15,Ãlesund,ENAL,AES,,"6.119699954986572, 62.5625"
PFAL,small_airport,Allakaket Airport,441,NA,US,US-AK,Allakaket,PFAL,AET,6A8,"-152.621994019, 66.5518035889"
OIBA,medium_airport,Abu Musa Island Airport,23,AS,IR,IR-23,Abu Musa,OIBA,AEU,,"55.033001, 25.8757"
KAEX,medium_airport,Alexandria International Airport,89,NA,US,US-LA,Alexandria,KAEX,AEX,AEX,"-92.54979705810547, 31.32740020751953"
BIAR,medium_airport,Akureyri Airport,6,EU,IS,IS-6,Akureyri,BIAR,AEY,,"-18.07270050048828, 65.66000366210938"
SAMR,medium_airport,Suboficial Ay Santiago Germano Airport,2470,SA,AR,AR-M,San Rafael,SAMR,AFA,SRA,"-68.4039, -34.588299"
FAPA,small_airport,Port Alfred Airport,275,AF,ZA,ZA-EC,Port Alfred,FAPA,AFD,,"26.877700805699998, -33.5541992188"
KAFF,small_airport,USAF Academy Airfield,6572,NA,US,US-CO,Colorado Springs,KAFF,AFF,AFF,"-104.8130035, 38.96969986"
SKAM,small_airport,Amalfi Airport,5507,SA,CO,CO-ANT,Amalfi,SKAM,AFI,AFI,"-75.0667, 6.91667"
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,95,AS,LK,LK-5,Ampara,,AFK,,"81.644, 7.284"
SBAT,medium_airport,Piloto Osvaldo Marques Dias Airport,948,SA,BR,BR-MT,Alta Floresta,SBAT,AFL,,"-56.1049995422, -9.8663892746"
KAFN,small_airport,Jaffrey Airport Silver Ranch Airport,1040,NA,US,US-NH,Jaffrey,KAFN,AFN,AFN,"-72.0029983521, 42.805099487300005"
KAFO,small_airport,Afton Municipal Airport,6221,NA,US,US-WY,Afton,KAFO,AFO,AFO,"-110.942001343, 42.7112007141"
AFR,small_airport,Afore Airstrip,2500,OC,PG,PG-NPP,,AYAF,AFR,AFE,"148.390833333, -9.142222222220001"
UTSN,small_airport,Sugraly Airport,1396,AS,UZ,UZ-NW,Zarafshan,UTSN,AFS,,"64.23320007324219, 41.61389923095703"
AGAF,small_airport,Afutara Aerodrome,23,OC,SB,SB-ML,Bila,AGAF,AFT,,"160.948611111, -9.19138888889"
KAFW,large_airport,Fort Worth Alliance Airport,722,NA,US,US-TX,Fort Worth,KAFW,AFW,AFW,"-97.31880187990001, 32.9875984192"
LTAH,medium_airport,Afyon Airport,3310,AS,TR,TR-03,Afyonkarahisar,LTAH,AFY,,"30.6011009216, 38.726398468"
OIMS,medium_airport,Sabzevar National Airport,3010,AS,IR,IR-30,Sabzevar,OIMS,AFZ,,"57.59519958496094, 36.16809844970703"
GMAD,medium_airport,Al Massira Airport,250,AF,MA,MA-AGD,Agadir,GMAD,AGA,,"-9.413069725036621, 30.325000762939453"
EDMA,medium_airport,Augsburg Airport,1516,EU,DE,DE-BY,Augsburg,EDMA,AGB,,"10.931667, 48.425278"
KAGC,medium_airport,Allegheny County Airport,1252,NA,US,US-PA,Pittsburgh,KAGC,AGC,AGC,"-79.9301986694336, 40.354400634765625"
ID-AGD,small_airport,Anggi Airport,6644,AS,ID,ID-PB,Anggi-Papua Island,WASG,AGD,,"133.8737, -1.3858"
EDWG,small_airport,Wangerooge Airport,7,EU,DE,DE-NI,Wangerooge,EDWG,AGE,,"7.913888931274414, 53.782779693603516"
LFBA,medium_airport,Agen-La Garenne Airport,204,EU,FR,FR-B,Agen/La Garenne,LFBA,AGF,,"0.5905560255050659, 44.17470169067383"
AGG,small_airport,Angoram Airport,75,OC,PG,PG-ESW,Angoram,,AGG,ANG,"144.073888889, -4.05583333333"
ESTA,medium_airport,Ãngelholm-Helsingborg Airport,68,EU,SE,SE-M,Ãngelholm,ESTA,AGH,,"12.847100257873535, 56.29610061645508"
SMWA,small_airport,Wageningen Airstrip,6,SA,SR,SR-NI,Wageningen,SMWA,AGI,,"-56.673328, 5.841128"
RORA,small_airport,Aguni Airport,38,AS,JP,JP-47,Aguni,RORA,AGJ,,"127.240997314, 26.5925006866"
AGK,small_airport,Kagua Airport,5350,OC,PG,PG-SHM,Kagua,,AGK,,"143.853611111, -6.396388888890001"
AGL,small_airport,Wanigela Airport,53,OC,PG,PG-NPP,,AYWG,AGL,WGL,"149.155555556, -9.3375"
PAGN,seaplane_base,Angoon Seaplane Base,,NA,US,US-AK,Angoon,PAGN,AGN,AGN,"-134.585007, 57.503601"
KAGO,small_airport,Ralph C Weiser Field,319,NA,US,US-AR,Magnolia,KAGO,AGO,AGO,"-93.217002, 33.228001"
LEMG,large_airport,MÃ¡laga Airport,53,EU,ES,ES-AN,MÃ¡laga,LEMG,AGP,,"-4.499110221862793, 36.67490005493164"
LGAG,closed,Agrinion Air Base,154,EU,GR,GR-01,Agrinion,LGAG,AGQ,,"21.3512001, 38.602001"
VIAG,medium_airport,Agra Airport,551,AS,IN,IN-UP,,VIAG,AGR,,"77.96089935302734, 27.155799865722656"
KAGS,large_airport,Augusta Regional At Bush Field,144,NA,US,US-GA,Augusta,KAGS,AGS,AGS,"-81.9645004272461, 33.36989974975586"
SGES,medium_airport,Guarani International Airport,846,SA,PY,PY-10,Ciudad del Este,SGES,AGT,,"-54.842682, -25.454516"
MMAS,medium_airport,JesÃºs TerÃ¡n Paredo International Airport,6112,NA,MX,MX-AGU,Aguascalientes,MMAS,AGU,,"-102.318001, 21.705601"
SVAC,medium_airport,Oswaldo Guevara Mujica Airport,640,SA,VE,VE-P,Acarigua,SVAC,AGV,,"-69.23786926269531, 9.553375244140625"
AU-AGW,small_airport,Agnew Airport,,OC,AU,AU-QLD,Agnew,,AGW,,"142.1490020751953, -12.145600318908691"
VOAT,medium_airport,Agatti Airport,14,AS,IN,IN-LD,,VOAT,AGX,,"72.1760025024414, 10.823699951171875"
AGY,small_airport,Argyle Downs Airport,407,OC,AU,AU-WA,Argyle Downs,,AGY,,"128.9245, -16.514"
FAAG,medium_airport,Aggeneys Airport,2648,AF,ZA,ZA-NC,Aggeneys,FAAG,AGZ,,"18.813899993896484, -29.28179931640625"
OEAB,medium_airport,Abha Regional Airport,6858,AS,SA,SA-14,Abha,OEAB,AHB,,"42.65660095210001, 18.240400314299997"
KAHC,small_airport,Amedee Army Air Field,4012,NA,US,US-CA,Herlong,KAHC,AHC,AHC,"-120.1529999, 40.26620102"
K1F0,small_airport,Ardmore Downtown Executive Airport,844,NA,US,US-OK,Ardmore,,AHD,1F0,"-97.1227035522, 34.1469993591"
NTHE,medium_airport,Ahe Airport,11,OC,PF,PF-U-A,Ahe Atoll,NTHE,AHE,,"-146.2570037841797, -14.428099632263184"
K37V,small_airport,Arapahoe Municipal Airport,2270,NA,US,US-NE,Arapahoe,,AHF,37V,"-99.90650177, 40.339500427199994"
KAHH,small_airport,Amery Municipal Airport,1088,NA,US,US-WI,Amery,KAHH,AHH,AHH,"-92.37539672850001, 45.2811012268"
WAPA,small_airport,Amahai Airport,29,AS,ID,ID-MA,Amahai-Seram Island,WAPA,AHI,,"128.925994873, -3.34800004959"
AHJ,medium_airport,Hongyuan Airport,11600,AS,CN,CN-51,Aba,ZUHY,AHJ,,"102.35224, 32.53154"
SYAH,small_airport,Aishalton Airport,587,SA,GY,GY-UT,Aishalton,SYAH,AHL,,"-59.31340026855469, 2.486530065536499"
KS03,small_airport,Ashland Municipal Sumner Parker Field,1885,NA,US,US-OR,Ashland,KS03,AHM,S03,"-122.661003113, 42.190299987799996"
KAHN,medium_airport,Athens Ben Epps Airport,808,NA,US,US-GA,Athens,KAHN,AHN,AHN,"-83.32630157470703, 33.94860076904297"
LIEA,medium_airport,Alghero-Fertilia Airport,87,EU,IT,IT-88,Alghero,LIEA,AHO,SS02,"8.29077, 40.632099"
MHAH,small_airport,Ahuas Airport,249,NA,HN,HN-GD,Ahuas,MHAH,AHS,,"-84.352203, 15.4722"
AHT,closed,Amchitka Army Airfield,215,NA,US,US-AK,Amchitka Island,PAHT,AHT,,"179.259166667, 51.3777777778"
US-0133,closed,Amchitka Army Airfield,215,NA,US,US-AK,Amchitka Island,,AHT,,"179.259166667, 51.3777777778"
GMTA,medium_airport,Cherif Al Idrissi Airport,95,AF,MA,MA-HOC,Al Hoceima,GMTA,AHU,,"-3.83951997756958, 35.177101135253906"
AHY,small_airport,Ambatolhy Airport,340,AF,MG,MG-U,Ambatolahy,,AHY,,"45.535, -20.015833333299998"
LFHU,small_airport,Altiport L'Alpe d'Huez - Henri GIRAUD,6102,EU,FR,FR-V,L'Alpe d'Huez,LFHU,AHZ,,"6.08472, 45.088299"
KAIA,small_airport,Alliance Municipal Airport,3931,NA,US,US-NE,Alliance,KAIA,AIA,AIA,"-102.804000854, 42.0531997681"
AIP,small_airport,Ailinglaplap Airok Airport,16,OC,MH,MH-ALL,Bigatyelang Island,,AIC,,"168.8257, 7.279422"
KAID,small_airport,Anderson Municipal Darlington Field,919,NA,US,US-IN,Anderson,KAID,AID,AID,"-85.6129989624, 40.10860061649999"
AIE,small_airport,Aiome Airport,350,OC,PG,PG-MPM,Aiome,AYAO,AIE,AIO,"144.7307003, -5.145699978"
SNAX,small_airport,Marcelo Pires Halzhausen Airport,1850,SA,BR,BR-SP,Assis,SNAX,AIF,SNAX,"-50.453056, -22.64"
FEFY,small_airport,Yalinga Airport,1975,AF,CF,CF-HK,Yalinga,FEFY,AIG,,"23.260000228881836, 6.519999980926514"
AIH,small_airport,Aiambak Airport,90,OC,PG,PG-WPD,Aiambak,AYAK,AIH,AMB,"141.2675, -7.342777777779999"
HDAS,small_airport,Ali-Sabieh Airport,2320,AF,DJ,DJ-AS,Ali-Sabieh,HDAS,AII,,"42.72, 11.1468888889"
KAIK,small_airport,Aiken Regional Airport,528,NA,US,US-SC,Aiken,KAIK,AIK,AIK,"-81.684998, 33.649399"
PA-0003,small_airport,Alligandi Airport,55,NA,PA,PA-KY,Alligandi,,AIL,,"-78.0236, 9.2226"
MH-AIM,small_airport,Ailuk Airport,,OC,MH,MH-ALK,Ailuk Island,,AIM,,"169.98300170898438, 10.21679973602295"
PAWI,medium_airport,Wainwright Airport,41,NA,US,US-AK,Wainwright,PAWI,AIN,AWI,"-159.994995117, 70.6380004883"
KAIO,small_airport,Atlantic Municipal Airport,1165,NA,US,US-IA,Atlantic,KAIO,AIO,AIO,"-95.04689789, 41.40729904"
VIAX,small_airport,Adampur Airport,775,AS,IN,IN-PB,Adampur,VIAX,AIP,,"75.758797, 31.4338"
SWRP,small_airport,AripuanÃ£ Airport,623,SA,BR,BR-MT,AripuanÃ£,SSOU,AIR,SSOU,"-59.457273, -10.188278"
NGTR,small_airport,Arorae Island Airport,,OC,KI,KI-G,Arorae Island,NGTR,AIS,,"176.80299377441406, -2.61611008644104"
NCAI,small_airport,Aitutaki Airport,14,OC,CK,CK-U-A,Aitutaki,NCAI,AIT,,"-159.76400756835938, -18.830900192260742"
NCAT,small_airport,Enua Airport,36,OC,CK,CK-U-A,Atiu Island,NCAT,AIU,,"-158.11900329589844, -19.96780014038086"
KAIV,small_airport,George Downer Airport,150,NA,US,US-AL,Aliceville,KAIV,AIV,AIV,"-88.1978, 33.106499"
FYAA,small_airport,Ai-Ais Airport,2000,AF,NA,NA-KU,Ai-Ais,FYAA,AIW,,"17.5966, -27.995"
KAIY,closed,Atlantic City Municipal Bader Field,8,NA,US,US-NJ,Atlantic City,KAIY,AIY,AIY,"-74.4561004639, 39.3600006104"
KAIZ,small_airport,Lee C Fine Memorial Airport,869,NA,US,US-MO,Kaiser Lake Ozark,KAIZ,AIZ,AIZ,"-92.54949951170002, 38.0960006714"
LFKJ,medium_airport,Ajaccio-NapolÃ©on Bonaparte Airport,18,EU,FR,FR-H,Ajaccio/NapolÃ©on Bonaparte,LFKJ,AJA,,"8.8029203414917, 41.92359924316406"
OESK,medium_airport,Al-Jawf Domestic Airport,2261,AS,SA,SA-12,Al-Jawf,OESK,AJF,,"40.099998474121094, 29.78510093688965"
LTCO,medium_airport,AÄrÄ± Airport,5462,AS,TR,TR-04,,LTCO,AJI,,"43.025978088378906, 39.654541015625"
GQNJ,small_airport,Akjoujt Airport,403,AF,MR,MR-12,Akjoujt,GQNJ,AJJ,,"-14.383249282836914, 19.733016967773438"
OIHR,small_airport,Arak Airport,5440,AS,IR,IR-22,Araak,OIHR,AJK,,"49.8473014831543, 34.138099670410156"
VELP,medium_airport,Lengpui Airport,1398,AS,IN,IN-MZ,Aizawl,VELP,AJL,,"92.6196975708, 23.840599060099997"
